consensus sequence output,Number of input sequences considered,sequence found in vulgar file,number of aligned reads,# skipped reads due to low rel. score,Length of alignment,Coverage minimum,Coverage maximum,Coverage mean,Coverage median,total_length,num_n,num_gaps
BSNHM155-24_r_1.3_s_50,             2977175,  509,              286,               67,                              1533,                                 0,                                 38,                                    11.63,                                  10.00,1533,13,39
BSNHM155-24_r_1.5_s_100,             2977175,  141,              131,               9,                              1533,                                 0,                                 26,                                    6.88,                                  6.00,1533,3,150
BSNHM155-24_r_1.5_s_50,             2977175,  509,              260,               93,                              1533,                                 0,                                 38,                                    10.67,                                  9.00,1533,1,87
BSNHM156-24_r_1_s_100,             2752218,  36,              30,               6,                              1533,                                 0,                                 8,                                    1.25,                                  0.00,1533,0,1089
BSNHM156-24_r_1_s_50,             2752218,  235,              202,               13,                              1533,                                 0,                                 44,                                    5.81,                                  4.00,1533,10,225
BSNHM156-24_r_1.3_s_100,             2752218,  36,              30,               6,                              1533,                                 0,                                 8,                                    1.25,                                  0.00,1533,0,1089
BSNHM156-24_r_1.3_s_50,             2752218,  235,              198,               17,                              1533,                                 0,                                 44,                                    5.63,                                  4.00,1533,10,225
BSNHM156-24_r_1.5_s_100,             2752218,  36,              30,               6,                              1533,                                 0,                                 8,                                    1.25,                                  0.00,1533,0,1089
BSNHM156-24_r_1.5_s_50,             2752218,  235,              174,               41,                              1533,                                 0,                                 40,                                    4.95,                                  4.00,1533,10,342
BSNHM157-24_r_1_s_100,             4536801,  152,              149,               2,                              1533,                                 0,                                 22,                                    7.95,                                  8.00,1533,19,66
BSNHM157-24_r_1_s_50,             4536801,  530,              368,               57,                              1533,                                 0,                                 49,                                    14.43,                                  14.00,1533,25,9
BSNHM157-24_r_1.3_s_100,             4536801,  152,              131,               20,                              1533,                                 0,                                 18,                                    6.70,                                  6.00,1533,5,159
BSNHM157-24_r_1.3_s_50,             4536801,  530,              320,               105,                              1533,                                 0,                                 33,                                    12.21,                                  12.00,1533,4,9
BSNHM157-24_r_1.5_s_100,             4536801,  152,              124,               27,                              1533,                                 0,                                 18,                                    6.32,                                  6.00,1533,1,159
BSNHM157-24_r_1.5_s_50,             4536801,  530,              273,               152,                              1533,                                 0,                                 30,                                    10.65,                                  10.00,1533,2,60
BSNHM158-24_r_1_s_100,             14077929,  394,              392,               0,                              1533,                                 0,                                 58,                                    21.41,                                  21.00,1533,0,3
BSNHM158-24_r_1_s_50,             14077929,  1093,              916,               44,                              1533,                                 7,                                 87,                                    35.62,                                  34.00,1533,0,0
BSNHM158-24_r_1.3_s_100,             14077929,  394,              392,               0,                              1533,                                 0,                                 58,                                    21.41,                                  21.00,1533,0,3
BSNHM158-24_r_1.3_s_50,             14077929,  1093,              868,               92,                              1533,                                 2,                                 86,                                    34.17,                                  33.00,1533,0,0
BSNHM158-24_r_1.5_s_100,             14077929,  394,              357,               35,                              1533,                                 0,                                 44,                                    18.82,                                  18.00,1533,0,3
BSNHM158-24_r_1.5_s_50,             14077929,  1093,              799,               161,                              1533,                                 2,                                 73,                                    30.53,                                  30.00,1533,0,0
BSNHM159-24_r_1_s_100,             4074250,  61,              61,               0,                              1533,                                 0,                                 11,                                    3.17,                                  2.00,1533,1,555
BSNHM159-24_r_1_s_50,             4074250,  252,              162,               33,                              1533,                                 0,                                 34,                                    5.83,                                  4.00,1533,5,192
BSNHM159-24_r_1.3_s_100,             4074250,  61,              61,               0,                              1533,                                 0,                                 11,                                    3.17,                                  2.00,1533,1,555
BSNHM159-24_r_1.3_s_50,             4074250,  252,              141,               54,                              1533,                                 0,                                 30,                                    5.23,                                  4.00,1533,8,204
BSNHM159-24_r_1.5_s_100,             4074250,  61,              59,               2,                              1533,                                 0,                                 10,                                    3.07,                                  2.00,1533,1,555
BSNHM159-24_r_1.5_s_50,             4074250,  252,              123,               72,                              1533,                                 0,                                 26,                                    4.69,                                  4.00,1533,5,303
BSNHM160-24_r_1_s_100,             2127720,  75,              66,               8,                              1533,                                 0,                                 16,                                    3.37,                                  2.00,1533,1,588
BSNHM160-24_r_1_s_50,             2127720,  336,              314,               18,                              1533,                                 0,                                 51,                                    9.86,                                  10.00,1533,9,168
BSNHM160-24_r_1.3_s_100,             2127720,  75,              66,               8,                              1533,                                 0,                                 16,                                    3.37,                                  2.00,1533,1,588
BSNHM160-24_r_1.3_s_50,             2127720,  336,              301,               31,                              1533,                                 0,                                 51,                                    9.42,                                  8.00,1533,10,171
BSNHM160-24_r_1.5_s_100,             2127720,  75,              64,               10,                              1533,                                 0,                                 16,                                    3.27,                                  2.00,1533,1,588
BSNHM160-24_r_1.5_s_50,             2127720,  336,              276,               56,                              1533,                                 0,                                 49,                                    8.64,                                  8.00,1533,1,171
BSNHM161-24_r_1_s_100,             5596019,  405,              266,               117,                              1530,                                 0,                                 71,                                    23.56,                                  20.00,1530,42,126
BSNHM161-24_r_1_s_50,             5596019,  1473,              490,               320,                              1530,                                 0,                                 123,                                    29.72,                                  27.00,1530,61,39
BSNHM161-24_r_1.3_s_100,             5596019,  405,              141,               242,                              1530,                                 0,                                 49,                                    12.23,                                  8.00,1530,19,180
BSNHM161-24_r_1.3_s_50,             5596019,  1473,              249,               561,                              1530,                                 0,                                 106,                                    14.47,                                  11.00,1530,17,129
BSNHM161-24_r_1.5_s_100,             5596019,  405,              95,               288,                              1530,                                 0,                                 49,                                    8.17,                                  5.00,1530,1,480
BSNHM161-24_r_1.5_s_50,             5596019,  1473,              173,               637,                              1530,                                 0,                                 101,                                    9.54,                                  7.00,1530,6,447
BSNHM162-24_r_1_s_100,             544911,  295,              295,               0,                              1566,                                 0,                                 104,                                    16.53,                                  0.00,1566,0,996
BSNHM162-24_r_1_s_50,             544911,  537,              535,               0,                              1566,                                 0,                                 104,                                    22.57,                                  0.00,1566,0,864
BSNHM162-24_r_1.3_s_100,             544911,  295,              295,               0,                              1566,                                 0,                                 104,                                    16.53,                                  0.00,1566,0,996
BSNHM162-24_r_1.3_s_50,             544911,  537,              532,               3,                              1566,                                 0,                                 104,                                    22.44,                                  0.00,1566,0,906
BSNHM162-24_r_1.5_s_100,             544911,  295,              286,               9,                              1566,                                 0,                                 104,                                    15.81,                                  0.00,1566,0,1041
BSNHM162-24_r_1.5_s_50,             544911,  537,              523,               12,                              1566,                                 0,                                 104,                                    21.72,                                  0.00,1566,0,951
BSNHM163-24_r_1_s_100,             1965766,  279,              248,               17,                              1539,                                 0,                                 67,                                    13.54,                                  6.00,1539,27,510
BSNHM163-24_r_1_s_50,             1965766,  969,              875,               42,                              1539,                                 0,                                 121,                                    35.24,                                  28.00,1539,11,57
BSNHM163-24_r_1.3_s_100,             1965766,  279,              206,               59,                              1539,                                 0,                                 51,                                    10.52,                                  4.00,1539,0,741
BSNHM163-24_r_1.3_s_50,             1965766,  969,              614,               303,                              1539,                                 0,                                 101,                                    22.48,                                  18.00,1539,1,144
BSNHM163-24_r_1.5_s_100,             1965766,  279,              144,               121,                              1539,                                 0,                                 46,                                    7.09,                                  0.00,1539,0,816
BSNHM163-24_r_1.5_s_50,             1965766,  969,              407,               510,                              1539,                                 0,                                 67,                                    14.41,                                  9.00,1539,1,294
BSNHM164-24_r_1_s_100,             2274301,  159,              157,               2,                              1539,                                 0,                                 30,                                    8.63,                                  8.00,1539,2,405
BSNHM164-24_r_1_s_50,             2274301,  551,              520,               8,                              1539,                                 0,                                 62,                                    17.67,                                  16.00,1539,15,138
BSNHM164-24_r_1.3_s_100,             2274301,  159,              146,               13,                              1539,                                 0,                                 30,                                    7.68,                                  6.00,1539,1,438
BSNHM164-24_r_1.3_s_50,             2274301,  551,              509,               19,                              1539,                                 0,                                 62,                                    16.72,                                  16.00,1539,3,150
BSNHM164-24_r_1.5_s_100,             2274301,  159,              144,               15,                              1539,                                 0,                                 30,                                    7.59,                                  6.00,1539,1,438
BSNHM164-24_r_1.5_s_50,             2274301,  551,              476,               52,                              1539,                                 0,                                 62,                                    15.61,                                  14.00,1539,3,177
BSNHM165-24_r_1_s_100,             3219585,  134,              90,               42,                              1533,                                 0,                                 28,                                    6.60,                                  4.00,1533,27,393
BSNHM165-24_r_1_s_50,             3219585,  582,              203,               182,                              1533,                                 0,                                 39,                                    10.25,                                  8.00,1533,24,198
BSNHM165-24_r_1.3_s_100,             3219585,  134,              77,               55,                              1533,                                 0,                                 26,                                    5.44,                                  4.00,1533,24,426
BSNHM165-24_r_1.3_s_50,             3219585,  582,              141,               244,                              1533,                                 0,                                 36,                                    7.26,                                  6.00,1533,10,324
BSNHM165-24_r_1.5_s_100,             3219585,  134,              41,               91,                              1533,                                 0,                                 14,                                    2.74,                                  0.00,1533,0,771
BSNHM165-24_r_1.5_s_50,             3219585,  582,              80,               305,                              1533,                                 0,                                 16,                                    3.63,                                  2.00,1533,24,708
BSNHM166-24_r_1_s_100,             3968531,  300,              298,               0,                              1533,                                 2,                                 32,                                    17.01,                                  16.00,1533,0,0
BSNHM166-24_r_1_s_50,             3968531,  1063,              463,               71,                              1533,                                 2,                                 35,                                    22.05,                                  22.00,1533,0,0
BSNHM166-24_r_1.3_s_100,             3968531,  300,              296,               2,                              1533,                                 2,                                 32,                                    16.88,                                  16.00,1533,0,0
BSNHM166-24_r_1.3_s_50,             3968531,  1063,              435,               99,                              1533,                                 2,                                 35,                                    21.02,                                  22.00,1533,0,0
BSNHM166-24_r_1.5_s_100,             3968531,  300,              277,               21,                              1533,                                 2,                                 31,                                    15.77,                                  16.00,1533,1,0
BSNHM166-24_r_1.5_s_50,             3968531,  1063,              398,               136,                              1533,                                 2,                                 33,                                    19.28,                                  20.00,1533,0,0
BSNHM167-24_r_1_s_100,             1497960,  69,              69,               0,                              1533,                                 0,                                 29,                                    3.15,                                  0.00,1533,0,1158
BSNHM167-24_r_1_s_50,             1497960,  193,              184,               6,                              1533,                                 0,                                 30,                                    6.10,                                  0.00,1533,0,843
BSNHM167-24_r_1.3_s_100,             1497960,  69,              69,               0,                              1533,                                 0,                                 29,                                    3.15,                                  0.00,1533,0,1158
BSNHM167-24_r_1.3_s_50,             1497960,  193,              184,               6,                              1533,                                 0,                                 30,                                    6.10,                                  0.00,1533,0,843
BSNHM167-24_r_1.5_s_100,             1497960,  69,              56,               13,                              1533,                                 0,                                 28,                                    2.47,                                  0.00,1533,0,1239
BSNHM167-24_r_1.5_s_50,             1497960,  193,              170,               20,                              1533,                                 0,                                 30,                                    5.39,                                  0.00,1533,0,924
BSNHM168-24_r_1_s_100,             28555441,  888,              875,               7,                              1533,                                 8,                                 99,                                    44.68,                                  43.00,1533,0,0
BSNHM168-24_r_1_s_50,             28555441,  2962,              2669,               80,                              1533,                                 22,                                 248,                                    97.15,                                  91.00,1533,0,0
BSNHM168-24_r_1.3_s_100,             28555441,  888,              868,               14,                              1533,                                 8,                                 99,                                    44.24,                                  42.00,1533,0,0
BSNHM168-24_r_1.3_s_50,             28555441,  2962,              2568,               181,                              1533,                                 20,                                 237,                                    93.59,                                  88.00,1533,0,0
BSNHM168-24_r_1.5_s_100,             28555441,  888,              789,               93,                              1533,                                 8,                                 86,                                    39.91,                                  40.00,1533,0,0
BSNHM168-24_r_1.5_s_50,             28555441,  2962,              2186,               563,                              1533,                                 12,                                 188,                                    79.36,                                  73.00,1533,0,0
BSNHM169-24_r_1_s_100,             3530389,  147,              128,               17,                              1533,                                 0,                                 20,                                    7.38,                                  7.00,1533,18,186
BSNHM169-24_r_1_s_50,             3530389,  507,              436,               55,                              1533,                                 0,                                 40,                                    16.85,                                  15.00,1533,11,21
BSNHM169-24_r_1.3_s_100,             3530389,  147,              106,               39,                              1533,                                 0,                                 18,                                    5.88,                                  6.00,1533,0,258
BSNHM169-24_r_1.3_s_50,             3530389,  507,              340,               151,                              1533,                                 0,                                 39,                                    12.34,                                  12.00,1533,7,45
BSNHM169-24_r_1.5_s_100,             3530389,  147,              63,               82,                              1533,                                 0,                                 16,                                    3.41,                                  2.00,1533,0,543
BSNHM169-24_r_1.5_s_50,             3530389,  507,              225,               266,                              1533,                                 0,                                 35,                                    7.43,                                  6.00,1533,6,225
BSNHM170-24_r_1_s_100,             644,  0,              0,               0,                              1533,                                 0,                                 0,                                    0.00,                                  0.00,0,0,0
BSNHM170-24_r_1_s_50,             644,  0,              0,               0,                              1533,                                 0,                                 0,                                    0.00,                                  0.00,0,0,0
BSNHM170-24_r_1.3_s_100,             644,  0,              0,               0,                              1533,                                 0,                                 0,                                    0.00,                                  0.00,0,0,0
BSNHM170-24_r_1.3_s_50,             644,  0,              0,               0,                              1533,                                 0,                                 0,                                    0.00,                                  0.00,0,0,0
BSNHM170-24_r_1.5_s_100,             644,  0,              0,               0,                              1533,                                 0,                                 0,                                    0.00,                                  0.00,0,0,0
BSNHM170-24_r_1.5_s_50,             644,  0,              0,               0,                              1533,                                 0,                                 0,                                    0.00,                                  0.00,0,0,0
BSNHM171-24_r_1_s_100,             17205384,  990,              979,               7,                              1533,                                 0,                                 134,                                    61.41,                                  59.00,1533,0,90
BSNHM171-24_r_1_s_50,             17205384,  3080,              2396,               219,                              1533,                                 0,                                 248,                                    104.08,                                  107.00,1533,12,3
BSNHM171-24_r_1.3_s_100,             17205384,  990,              797,               189,                              1533,                                 0,                                 132,                                    48.20,                                  45.00,1533,0,150
BSNHM171-24_r_1.3_s_50,             17205384,  3080,              1863,               752,                              1533,                                 0,                                 244,                                    77.71,                                  77.00,1533,5,21
BSNHM171-24_r_1.5_s_100,             17205384,  990,              582,               404,                              1533,                                 0,                                 101,                                    33.70,                                  28.00,1533,0,399
BSNHM171-24_r_1.5_s_50,             17205384,  3080,              1333,               1282,                              1533,                                 0,                                 230,                                    53.11,                                  45.00,1533,1,225
BSNHM172-24_r_1_s_100,             17165630,  853,              846,               5,                              1539,                                 0,                                 150,                                    54.92,                                  43.00,1539,0,129
BSNHM172-24_r_1_s_50,             17165630,  1952,              1714,               76,                              1539,                                 0,                                 234,                                    80.68,                                  78.00,1539,2,18
BSNHM172-24_r_1.3_s_100,             17165630,  853,              772,               79,                              1539,                                 0,                                 148,                                    49.18,                                  33.00,1539,0,129
BSNHM172-24_r_1.3_s_50,             17165630,  1952,              1528,               262,                              1539,                                 0,                                 234,                                    70.33,                                  67.00,1539,1,36
BSNHM172-24_r_1.5_s_100,             17165630,  853,              541,               310,                              1539,                                 0,                                 131,                                    33.61,                                  20.00,1539,0,387
BSNHM172-24_r_1.5_s_50,             17165630,  1952,              1094,               696,                              1539,                                 0,                                 225,                                    47.72,                                  39.00,1539,1,213
BSNHM173-24_r_1_s_100,             1716198,  8,              8,               0,                              1566,                                 0,                                 4,                                    0.41,                                  0.00,1566,14,1314
BSNHM173-24_r_1_s_50,             1716198,  69,              57,               7,                              1566,                                 0,                                 21,                                    1.46,                                  0.00,1566,7,987
BSNHM173-24_r_1.3_s_100,             1716198,  8,              8,               0,                              1566,                                 0,                                 4,                                    0.41,                                  0.00,1566,14,1314
BSNHM173-24_r_1.3_s_50,             1716198,  69,              51,               13,                              1566,                                 0,                                 21,                                    1.26,                                  0.00,1566,5,1032
BSNHM173-24_r_1.5_s_100,             1716198,  8,              7,               1,                              1566,                                 0,                                 3,                                    0.32,                                  0.00,1566,0,1335
BSNHM173-24_r_1.5_s_50,             1716198,  69,              50,               14,                              1566,                                 0,                                 20,                                    1.18,                                  0.00,1566,1,1053
BSNHM174-24_r_1_s_100,             9869380,  99,              54,               45,                              1539,                                 0,                                 13,                                    3.56,                                  2.00,1539,92,288
BSNHM174-24_r_1_s_50,             9869380,  874,              550,               188,                              1539,                                 0,                                 185,                                    16.58,                                  12.00,1539,100,24
BSNHM174-24_r_1.3_s_100,             9869380,  99,              34,               65,                              1539,                                 0,                                 6,                                    1.95,                                  2.00,1539,7,546
BSNHM174-24_r_1.3_s_50,             9869380,  874,              424,               314,                              1539,                                 0,                                 162,                                    10.57,                                  6.00,1539,30,90
BSNHM174-24_r_1.5_s_100,             9869380,  99,              22,               77,                              1539,                                 0,                                 6,                                    1.13,                                  0.00,1539,3,858
BSNHM174-24_r_1.5_s_50,             9869380,  874,              353,               385,                              1539,                                 0,                                 158,                                    7.96,                                  4.00,1539,20,303
BSNHM175-24_r_1_s_100,             2519710,  84,              84,               0,                              1539,                                 0,                                 14,                                    4.41,                                  4.00,1539,5,180
BSNHM175-24_r_1_s_50,             2519710,  443,              418,               1,                              1539,                                 2,                                 42,                                    12.88,                                  10.00,1539,18,0
BSNHM175-24_r_1.3_s_100,             2519710,  84,              81,               3,                              1539,                                 0,                                 14,                                    4.18,                                  4.00,1539,1,192
BSNHM175-24_r_1.3_s_50,             2519710,  443,              410,               9,                              1539,                                 0,                                 42,                                    12.44,                                  10.00,1539,3,12
BSNHM175-24_r_1.5_s_100,             2519710,  84,              79,               5,                              1539,                                 0,                                 14,                                    4.04,                                  4.00,1539,1,201
BSNHM175-24_r_1.5_s_50,             2519710,  443,              398,               21,                              1539,                                 0,                                 40,                                    12.04,                                  10.00,1539,3,21
BSNHM176-24_r_1_s_100,             4018889,  616,              615,               1,                              1533,                                 0,                                 112,                                    39.03,                                  36.00,1533,0,9
BSNHM176-24_r_1_s_50,             4018889,  1287,              1100,               80,                              1533,                                 0,                                 141,                                    55.41,                                  54.00,1533,8,9
BSNHM176-24_r_1.3_s_100,             4018889,  616,              581,               35,                              1533,                                 0,                                 111,                                    36.79,                                  36.00,1533,0,138
BSNHM176-24_r_1.3_s_50,             4018889,  1287,              929,               251,                              1533,                                 0,                                 134,                                    48.22,                                  46.00,1533,0,48
BSNHM176-24_r_1.5_s_100,             4018889,  616,              355,               261,                              1533,                                 0,                                 97,                                    21.94,                                  13.00,1533,0,336
BSNHM176-24_r_1.5_s_50,             4018889,  1287,              544,               636,                              1533,                                 0,                                 134,                                    27.67,                                  18.00,1533,0,216
BSNHM177-24_r_1_s_100,             5804502,  58,              56,               0,                              1533,                                 0,                                 12,                                    2.81,                                  2.00,1533,7,579
BSNHM177-24_r_1_s_50,             5804502,  383,              152,               77,                              1533,                                 0,                                 16,                                    5.66,                                  6.00,1533,59,111
BSNHM177-24_r_1.3_s_100,             5804502,  58,              56,               0,                              1533,                                 0,                                 12,                                    2.81,                                  2.00,1533,7,579
BSNHM177-24_r_1.3_s_50,             5804502,  383,              119,               110,                              1533,                                 0,                                 16,                                    4.60,                                  4.00,1533,20,237
BSNHM177-24_r_1.5_s_100,             5804502,  58,              54,               2,                              1533,                                 0,                                 12,                                    2.71,                                  2.00,1533,7,660
BSNHM177-24_r_1.5_s_50,             5804502,  383,              106,               123,                              1533,                                 0,                                 16,                                    4.17,                                  4.00,1533,8,303
BSNHM178-24_r_1_s_100,             10440839,  92,              76,               14,                              1533,                                 0,                                 15,                                    4.07,                                  4.00,1533,43,561
BSNHM178-24_r_1_s_50,             10440839,  643,              544,               54,                              1533,                                 0,                                 154,                                    16.17,                                  14.00,1533,30,102
BSNHM178-24_r_1.3_s_100,             10440839,  92,              64,               26,                              1533,                                 0,                                 15,                                    3.10,                                  2.00,1533,28,561
BSNHM178-24_r_1.3_s_50,             10440839,  643,              491,               107,                              1533,                                 0,                                 148,                                    13.83,                                  10.00,1533,8,168
BSNHM178-24_r_1.5_s_100,             10440839,  92,              55,               35,                              1533,                                 0,                                 15,                                    2.52,                                  2.00,1533,10,708
BSNHM178-24_r_1.5_s_50,             10440839,  643,              395,               203,                              1533,                                 0,                                 148,                                    10.51,                                  8.00,1533,5,348
BSNHM179-24_r_1_s_100,             3502957,  197,              195,               2,                              1533,                                 2,                                 22,                                    10.72,                                  10.00,1533,1,0
BSNHM179-24_r_1_s_50,             3502957,  464,              404,               20,                              1533,                                 4,                                 32,                                    16.74,                                  18.00,1533,0,0
BSNHM179-24_r_1.3_s_100,             3502957,  197,              193,               4,                              1533,                                 2,                                 22,                                    10.56,                                  10.00,1533,1,0
BSNHM179-24_r_1.3_s_50,             3502957,  464,              384,               40,                              1533,                                 4,                                 32,                                    15.93,                                  16.00,1533,0,0
BSNHM179-24_r_1.5_s_100,             3502957,  197,              174,               23,                              1533,                                 0,                                 22,                                    9.30,                                  8.00,1533,1,18
BSNHM179-24_r_1.5_s_50,             3502957,  464,              333,               91,                              1533,                                 1,                                 31,                                    13.71,                                  14.00,1533,0,0
BSNHM180-24_r_1_s_100,             11570574,  562,              560,               0,                              1533,                                 2,                                 70,                                    28.23,                                  26.00,1533,0,0
BSNHM180-24_r_1_s_50,             11570574,  3317,              2544,               110,                              1533,                                 8,                                 638,                                    82.64,                                  62.00,1533,3,0
BSNHM180-24_r_1.3_s_100,             11570574,  562,              556,               4,                              1533,                                 2,                                 70,                                    27.99,                                  26.00,1533,0,0
BSNHM180-24_r_1.3_s_50,             11570574,  3317,              2252,               417,                              1533,                                 8,                                 496,                                    73.14,                                  58.00,1533,1,0
BSNHM180-24_r_1.5_s_100,             11570574,  562,              506,               54,                              1533,                                 2,                                 64,                                    25.23,                                  23.00,1533,0,0
BSNHM180-24_r_1.5_s_50,             11570574,  3317,              1956,               713,                              1533,                                 5,                                 456,                                    63.17,                                  50.00,1533,2,0
BSNHM181-24_r_1_s_100,             3623063,  148,              144,               2,                              1533,                                 0,                                 24,                                    7.69,                                  6.00,1533,4,63
BSNHM181-24_r_1_s_50,             3623063,  356,              292,               28,                              1533,                                 0,                                 46,                                    11.85,                                  10.00,1533,6,9
BSNHM181-24_r_1.3_s_100,             3623063,  148,              136,               10,                              1533,                                 0,                                 24,                                    7.18,                                  6.00,1533,3,222
BSNHM181-24_r_1.3_s_50,             3623063,  356,              266,               54,                              1533,                                 0,                                 46,                                    10.81,                                  10.00,1533,3,114
BSNHM181-24_r_1.5_s_100,             3623063,  148,              125,               21,                              1533,                                 0,                                 24,                                    6.58,                                  6.00,1533,0,297
BSNHM181-24_r_1.5_s_50,             3623063,  356,              240,               80,                              1533,                                 0,                                 42,                                    9.73,                                  8.00,1533,1,174
